,t,q_d,dq_d,i_d,q,dq,i
1617,8.082843768999737,3.209596194653887,0,17.785959617361947,2.839861111111111,-3.5221521954835464,17
1618,8.08596764399772,3.2004364630788285,0,3.605753519677175,2.839861111111111,0.0,11
1619,8.09239578299821,3.181609918941792,0,17.722818804212306,2.8222222222222224,-3.5322354592541525,5
1620,8.095926172998588,3.17128281636395,0,17.829021263639614,2.8045833333333334,-3.5405066083333625,11
1621,8.102341440997407,3.1525399309826465,0,3.479565976493131,2.8045833333333334,0.0,6
1622,8.105962680998346,3.1419733289358085,0,17.654128016179737,2.7869444444444444,-3.525959792816524,7
1623,8.112294987000496,3.1235191175007766,0,17.760765162785734,2.7693055555555555,-3.554657385833381,5
1624,8.115916968999954,3.112976927193252,0,3.4367137163769668,2.7693055555555555,0.0,21
1625,8.122112275999825,3.094967466768159,0,17.430518122596624,2.7516666666666665,-3.4993775303954253,8
1626,8.125955273997533,3.083810544979241,0,3.3214387831257453,2.7516666666666665,0.0,1
1627,8.130951074999757,3.069323538139712,0,17.442815571885916,2.734027777777778,-3.5224644920666437,5
1628,8.135952560998703,3.054839101281763,0,3.208113235039849,2.734027777777778,0.0,3
1629,8.14218844199786,3.036806745929044,0,3.0277896815126626,2.734027777777778,0.0,21
1630,8.145907681999233,3.0260661152084767,0,17.27983689503641,2.716388888888889,-3.5457661579601334,11
1631,8.15232202399784,3.0075677770452303,0,16.922440387055513,2.69875,-3.4585656541508025,10
1632,8.156076447998203,2.996755379275963,0,2.9800537927596293,2.69875,0.0,11
1633,8.16093912100041,2.9827679036506254,0,17.203485408081995,2.681111111111111,-3.5467293706717133,19
1634,8.165900551997765,2.9685157598251655,0,2.8740464871405447,2.681111111111111,0.0,12
1635,8.172336968000309,2.950056030961275,0,16.870141177891647,2.663472222222222,-3.501075772625279,11
1636,8.175946968000062,2.939717157798517,0,2.762449355762948,2.663472222222222,0.0,7
1637,8.180943416999071,2.92542505807083,0,16.992031854189577,2.6458333333333335,-3.5490286517036522,10
1638,8.185892755998793,2.9112878716549795,0,16.923401050432034,2.6281944444444445,-3.5231166945816708,16
1639,8.190901685997233,2.8970010367213956,0,16.805523912229518,2.6105555555555555,-3.485267275142779,4
1640,8.196056077998946,2.8823210520063465,0,2.7176549645079096,2.6105555555555555,0.0,1
1641,8.202478974999394,2.864059398026641,0,16.979097574170837,2.5929166666666665,-3.566917565142773,5
1642,8.20589386699794,2.8543642835053364,0,2.614476168386699,2.5929166666666665,0.0,12
1643,8.210889592999592,2.840198879909937,0,16.585998012359042,2.5752777777777776,-3.4841967477593623,13
1644,8.216053669999383,2.825578485636921,0,16.869537650016014,2.557638888888889,-3.547535420633923,19
1645,8.221064618999662,2.81141350583215,0,16.895825605748094,2.54,-3.545422636856649,17
1646,8.225881348000257,2.7978179966823418,0,2.5781799668234173,2.54,0.0,11
1647,8.230881759998738,2.783725371794981,0,16.60318737082977,2.522361111111111,-3.497386190997767,16
1648,8.237297527997725,2.7656759207568453,0,2.4331480964573426,2.522361111111111,0.0,4
1649,8.241047027000604,2.7551442634021854,0,16.611138939433985,2.504722222222222,-3.5267296319085877,10
1650,8.247277092999866,2.737672725272031,0,16.691017329200303,2.487083333333333,-3.5462808524533305,10
1651,8.250872000997333,2.7276069547710056,0,16.6308549852765,2.4694444444444446,-3.512307470502722,5
1652,8.257274786999915,2.7097078501951954,0,2.402634057507509,2.4694444444444446,0.0,9
1653,8.26103780399717,2.6992055433729654,0,16.577839049440193,2.4518055555555556,-3.525959792816524,7
1654,8.267385646999173,2.6815183544145578,0,16.662494256911973,2.4341666666666666,-3.5472443448582656,-1
1655,8.270869536998362,2.671826742989104,0,2.3766007632243724,2.4341666666666666,0.0,0
1656,8.277283897998132,2.6540122532585357,0,16.439116222632663,2.4165277777777776,-3.51606786695627,13
1657,8.281031192997034,2.6436225730008105,0,2.270947952230329,2.4165277777777776,0.0,3
1658,8.28736312899855,2.626096480424913,0,16.464384063088247,2.3988888888888886,-3.548077036932,12
1659,8.290858240998205,2.6164384770006066,0,2.17549588111718,2.3988888888888886,0.0,11
1660,8.297399507999216,2.5983939926223476,0,16.23944946333222,2.38125,-3.5170023842771863,16
1661,8.301021914998273,2.5884187956363163,0,2.071687956363162,2.38125,0.0,15
1662,8.307367590998183,2.5709745432499345,0,16.27842889221232,2.363611111111111,-3.551198642706022,11
1663,8.31084953699974,2.561419069088683,0,1.97807957977572,2.363611111111111,0.0,9
1664,8.31739948899849,2.5434757582644094,0,16.055729356290463,2.345972222222222,-3.520173498967148,11
1665,8.32102273000055,2.533567899788941,0,1.8759567756671869,2.345972222222222,0.0,9
1666,8.327359349998005,2.5162709841337416,0,1.702987619115195,2.345972222222222,0.0,7
1667,8.330847869998252,2.5067652434641543,0,15.893220759663242,2.328333333333333,-3.5272254145887576,7
1668,8.33714223199786,2.4896443021918784,0,1.6131096885854523,2.328333333333333,0.0,10
1669,8.341009266998299,2.4791452513373367,0,15.785111408392698,2.310694444444444,-3.525150834865943,6
